Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
900,0.59,1.61,10.52, -0.05,0.01,0.02
901,0.51,1.53,10.59, -0.10,0.01,-0.03
902,0.80,1.41,10.52, -0.10,-0.00,-0.03
903,0.58,1.72,10.30, -0.08,-0.00,-0.02
904,0.84,3.02,10.25, -0.17,0.03,0.12
905,-0.14,6.79,7.70, -0.69,0.15,0.49
906,-0.78,1.75,0.66, -0.81,0.00,0.25
907,-0.01,0.74,1.00, -0.81,0.01,0.21
908,0.01,0.51,0.89, -0.81,0.02,0.22
909,0.05,0.01,0.87, -0.80,0.03,0.23
910,0.00,0.04,0.95, -0.81,0.04,0.21
911,-0.05,0.14,0.95, -0.80,0.05,0.20
912,-0.15,0.30,0.89, -0.81,0.06,0.19
913,-0.09,0.25,0.89, -0.80,0.07,0.20
914,-0.03,0.19,0.91, -0.80,0.08,0.20
915,-0.01,0.12,0.91, -0.80,0.08,0.20
916,-0.12,0.16,0.86, -0.79,0.09,0.20
917,-0.14,0.13,0.89, -0.79,0.10,0.21
918,-0.01,0.12,0.96, -0.79,0.10,0.21
919,-0.10,0.15,0.93, -0.78,0.11,0.22
920,-0.02,0.18,0.96, -0.78,0.12,0.24
921,-0.10,0.18,0.97, -0.78,0.13,0.26
922,-0.07,0.13,1.00, -0.79,0.14,0.28
923,-0.06,0.16,0.96, -0.79,0.15,0.31
924,-0.15,0.07,0.99, -0.79,0.16,0.35
925,-0.04,0.08,1.02, -0.80,0.17,0.39
926,-0.08,0.17,1.07, -0.81,0.19,0.44
927,-0.01,0.10,1.04, -0.82,0.20,0.50
928,-0.07,0.06,1.06, -0.83,0.22,0.56
929,-0.04,0.05,1.04, -0.84,0.24,0.63
930,-0.13,0.04,1.14, -0.85,0.26,0.71
931,-0.11,0.02,1.12, -0.87,0.28,0.81
932,-0.10,0.01,1.10, -0.89,0.32,0.92
933,-0.07,-0.05,1.11, -0.91,0.35,1.03
934,-0.12,-0.06,1.25, -0.93,0.40,1.19
935,-0.06,-0.11,1.13, -0.95,0.44,1.35
936,-0.13,-0.06,1.09, -0.98,0.49,1.52
937,-0.13,-0.13,1.20, -1.01,0.55,1.71
938,-0.17,-0.19,1.23, -1.04,0.63,1.92
939,-0.22,-0.21,1.23, -1.07,0.70,2.16
940,0.01,-0.42,1.26, -1.08,0.78,2.43
941,-0.30,-0.33,1.29, -1.07,0.91,2.71
942,-0.25,-0.58,1.43, -1.06,1.02,3.01
943,-0.59,-0.61,1.40, -1.00,1.15,3.34
944,-0.77,-1.91,1.54, -0.93,1.23,3.61
945,-1.97,0.14,1.47, -0.78,1.35,3.95
946,-1.24,-0.31,1.42, -0.74,1.34,4.31
947,-1.32,-0.69,1.57, -0.52,1.47,4.82
948,-2.28,0.14,1.66, -0.44,1.50,5.08
949,-1.88,0.01,1.60, -0.30,1.56,5.35
950,-2.57,0.42,1.66, -0.14,1.56,5.58
951,-2.22,1.16,1.74, -0.10,1.48,5.69
952,-2.44,-0.00,1.55, -0.01,1.50,5.93
953,-2.49,1.56,1.65, 0.15,1.47,6.04
954,-2.65,1.30,1.50, 0.19,1.50,5.91
955,-3.63,2.58,1.47, 0.27,1.47,5.74
956,-2.35,2.83,1.60, 0.21,1.47,5.24
957,-3.32,2.69,1.48, 0.26,1.50,4.99
958,-3.14,3.14,1.42, 0.23,1.52,4.48
959,-3.82,2.24,1.36, 0.29,1.50,4.20
960,-3.58,1.99,1.27, 0.35,1.48,3.72
961,-3.42,3.27,1.46, 0.39,1.36,3.04
962,-3.21,3.73,1.43, 0.36,1.29,2.30
963,-2.81,3.84,1.41, 0.26,1.25,1.47
964,-2.84,3.95,1.32, 0.11,1.27,0.60
965,78.45,78.45,78.45, 8.73,8.73,-8.73
966,22.53,-2.68,2.89, -7.29,-8.73,-6.23
967,-6.54,-5.37,-8.10, -8.73,-8.73,2.69
968,-5.34,-2.99,-33.73, -8.73,-8.73,0.88
969,-9.29,-16.21,-42.66, -8.73,-8.73,0.08
970,-11.35,-12.06,-45.09, -8.73,-8.73,4.97
