Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,5.40,-2.99,-7.05, -0.05,0.00,0.11
1,5.40,-3.09,-7.12, -0.03,0.05,-0.03
2,5.56,-3.06,-7.06, -0.04,0.05,-0.03
3,5.57,-3.00,-7.21, -0.03,-0.02,0.07
4,5.56,-3.07,-7.05, -0.05,-0.02,0.06
5,5.45,-3.19,-7.09, -0.07,0.04,-0.05
6,5.56,-3.09,-7.10, -0.07,0.01,-0.07
7,5.62,-2.96,-7.15, -0.03,-0.05,0.02
8,5.44,-3.01,-7.10, -0.05,-0.08,0.15
9,5.34,-3.22,-7.18, -0.04,-0.06,-0.01
10,5.35,-3.12,-7.09, -0.05,-0.01,-0.12
11,5.32,-3.22,-7.25, -0.05,-0.00,-0.06
12,5.32,-3.15,-7.17, -0.03,-0.04,-0.00
13,5.19,-3.13,-7.14, -0.08,-0.06,0.05
14,5.18,-3.06,-7.25, -0.09,-0.04,-0.03
15,5.14,-3.01,-7.18, -0.09,-0.01,-0.08
16,5.13,-3.05,-7.13, -0.08,0.01,-0.02
17,5.02,-2.94,-7.11, -0.06,-0.01,-0.09
18,5.13,-2.94,-7.12, -0.07,0.02,-0.06
19,5.19,-2.92,-7.07, -0.07,0.01,-0.06
20,5.12,-2.96,-7.18, -0.08,0.02,-0.00
21,5.05,-2.97,-7.20, -0.06,0.01,-0.02
22,5.39,-2.92,-7.04, -0.04,0.01,0.01
23,5.21,-3.04,-7.20, -0.06,0.03,0.11
24,5.39,-3.11,-7.08, -0.04,0.05,-0.01
25,5.36,-2.95,-7.12, -0.08,0.04,0.06
26,5.40,-2.89,-7.11, -0.06,0.01,0.04
27,5.36,-2.90,-7.12, -0.08,0.02,0.06
28,5.40,-2.98,-7.11, -0.06,-0.00,-0.13
29,5.20,-2.99,-7.17, -0.02,0.06,-0.02
30,5.34,-3.05,-7.24, -0.01,0.02,-0.08
31,5.29,-3.03,-7.15, -0.03,-0.02,-0.03
32,5.29,-3.17,-7.18, -0.03,0.01,0.03
33,5.24,-3.11,-7.14, -0.06,0.01,-0.01
34,5.43,-3.12,-7.10, -0.06,0.03,-0.05
35,5.35,-3.06,-7.03, -0.07,0.03,0.03
36,5.44,-3.06,-7.14, -0.07,0.01,0.07
37,5.36,-3.03,-7.02, -0.07,0.03,0.03
38,5.48,-3.08,-6.98, -0.06,0.04,-0.04
39,5.49,-3.06,-7.10, -0.08,0.02,0.01
40,5.62,-3.01,-7.00, -0.08,-0.02,0.00
41,5.45,-3.05,-7.13, -0.09,-0.05,0.07
42,5.56,-2.88,-7.09, -0.07,-0.01,-0.09
43,5.50,-2.98,-7.03, -0.08,-0.01,-0.06
44,5.55,-3.00,-7.10, -0.03,-0.01,-0.03
45,5.44,-3.02,-7.08, -0.07,-0.00,0.03
46,5.36,-3.10,-7.27, -0.06,0.01,-0.06
47,5.58,-3.02,-7.07, -0.07,0.00,-0.09
48,5.55,-3.06,-7.03, -0.10,-0.02,0.02
49,5.54,-3.05,-7.10, -0.05,-0.04,0.05
50,5.44,-3.05,-7.13, -0.05,-0.03,0.10
51,5.36,-3.03,-7.13, -0.05,-0.03,-0.02
52,5.49,-3.11,-7.16, -0.06,-0.04,-0.01
53,5.38,-3.06,-7.10, -0.07,-0.03,0.02
54,5.36,-3.17,-7.10, -0.07,-0.03,-0.04
55,5.29,-3.10,-7.24, -0.07,-0.05,-0.05
56,5.37,-2.99,-7.12, -0.07,-0.03,-0.04
57,5.20,-3.15,-7.14, -0.10,-0.01,-0.06
58,5.28,-3.06,-7.16, -0.09,-0.01,-0.14
59,5.26,-2.91,-7.13, -0.09,-0.03,-0.04
60,5.23,-2.85,-7.08, -0.08,-0.02,0.00
61,5.13,-2.90,-6.99, -0.08,0.03,-0.08
62,5.31,-2.97,-7.08, -0.08,0.03,-0.10
63,5.33,-2.88,-7.05, -0.03,-0.01,0.03
64,5.39,-2.92,-7.06, -0.05,0.01,0.17
65,5.24,-3.04,-7.22, -0.09,0.05,-0.01
66,5.39,-2.98,-7.16, -0.06,0.02,-0.03
67,5.52,-2.85,-7.16, -0.05,-0.02,0.09
68,5.33,-3.03,-7.18, -0.08,-0.03,0.14
69,5.41,-3.08,-7.13, -0.09,0.01,-0.05
70,5.45,-2.96,-7.10, -0.10,0.03,-0.11
71,5.48,-2.85,-7.25, -0.08,-0.00,-0.03
72,5.42,-2.92,-7.04, -0.07,-0.03,0.05
73,5.38,-2.99,-7.12, -0.07,0.01,-0.02
74,5.41,-3.00,-7.11, -0.09,0.01,-0.10
75,5.48,-2.90,-7.04, -0.08,-0.03,-0.00
76,5.48,-2.85,-7.02, -0.09,-0.03,0.07
77,5.32,-2.92,-7.11, -0.09,0.01,0.02
78,5.59,-2.85,-7.05, -0.06,0.03,-0.11
79,5.70,-2.89,-7.02, -0.07,-0.01,0.02
80,5.48,-2.89,-7.17, -0.05,-0.02,0.05
81,5.44,-2.88,-7.18, -0.08,-0.03,0.03
82,5.44,-2.91,-7.22, -0.06,-0.04,-0.03
83,5.48,-2.91,-7.09, -0.07,-0.03,0.02
84,5.32,-2.93,-7.13, -0.07,-0.02,-0.01
85,5.43,-2.97,-7.09, -0.07,-0.03,-0.08
86,5.50,-2.84,-7.12, -0.06,-0.05,-0.00
87,5.34,-2.73,-7.14, -0.06,-0.07,0.08
88,5.34,-2.97,-7.13, -0.05,-0.06,0.02
89,5.25,-2.91,-7.08, -0.05,-0.06,-0.03
90,5.37,-2.96,-7.12, -0.05,-0.06,-0.01
91,5.22,-2.98,-7.19, -0.05,-0.07,0.04
92,5.20,-3.06,-7.15, -0.03,-0.07,0.03
93,5.28,-3.06,-7.19, -0.06,-0.01,0.01
94,5.01,-3.15,-7.30, -0.06,-0.00,-0.04
95,5.16,-2.94,-7.30, -0.06,-0.05,-0.01
96,5.28,-2.97,-7.36, -0.10,-0.03,0.06
97,5.21,-3.09,-7.16, -0.10,-0.00,-0.05
98,5.38,-3.02,-7.14, -0.12,0.00,-0.04
99,5.32,-2.96,-7.09, -0.11,-0.01,0.04
100,5.30,-2.90,-7.04, -0.08,-0.00,0.06
101,5.33,-2.79,-7.17, -0.10,-0.02,0.03
102,5.23,-2.71,-7.16, -0.08,-0.05,0.05
103,5.32,-2.75,-7.13, -0.07,-0.03,0.04
104,5.12,-2.90,-7.11, -0.05,0.02,-0.07
105,5.20,-2.82,-7.14, -0.05,-0.01,-0.07
106,5.12,-2.84,-7.17, -0.04,-0.03,0.05
107,5.10,-2.91,-7.20, -0.04,0.01,0.02
108,5.00,-2.99,-7.26, -0.07,0.01,-0.05
109,5.14,-2.75,-7.24, -0.06,-0.02,-0.03
