Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,-3.28,4.44,10.52, 0.28,0.16,-0.30
1,-1.46,-2.80,11.41, 0.41,-0.25,0.76
2,-7.74,-0.25,6.06, -0.37,0.08,-0.86
3,2.94,-1.32,9.16, -0.09,-0.08,-0.17
4,-1.86,0.79,10.05, -0.09,0.10,-0.07
5,1.99,-1.15,10.65, -0.04,-0.08,-0.03
6,1.18,-0.12,10.89, -0.04,0.03,-0.01
7,1.70,-0.05,10.70, -0.03,-0.01,0.01
8,1.19,-0.19,10.40, -0.06,0.00,-0.01
9,1.62,0.17,10.77, -0.10,-0.00,-0.04
10,1.57,0.01,10.70, -0.13,0.00,-0.07
11,1.56,-0.15,11.07, -0.16,-0.01,-0.11
12,0.70,0.05,10.67, -0.10,0.03,-0.01
13,0.28,-0.33,10.76, -0.09,0.01,0.00
14,1.99,0.04,10.72, -0.06,-0.00,0.05
15,1.54,-0.36,10.71, -0.10,0.05,-0.01
16,1.16,-0.34,10.74, -0.06,0.02,0.14
17,1.74,0.08,10.66, -0.13,0.07,-0.08
18,3.89,-0.42,11.10, -0.05,0.05,0.10
19,-0.38,-0.25,10.27, -0.15,0.08,-0.10
20,0.21,-2.49,10.01, 0.03,-0.13,-0.00
21,4.24,3.35,10.08, 0.02,-0.08,0.20
22,1.06,-0.67,10.85, -0.18,0.02,-0.07
23,0.90,-0.96,10.71, 0.02,-0.04,0.10
24,1.73,1.26,10.75, -0.13,-0.00,-0.05
25,0.95,-1.62,10.61, -0.05,-0.02,0.02
26,1.76,0.83,10.63, -0.11,-0.00,-0.03
27,0.85,-1.31,10.63, -0.06,-0.02,0.02
28,1.64,0.76,10.65, -0.06,-0.02,0.02
29,1.00,-0.76,10.65, -0.10,-0.01,-0.02
30,1.41,0.06,10.71, -0.04,-0.02,0.04
31,1.30,-0.01,10.68, -0.11,-0.01,-0.03
32,1.21,-0.63,10.57, -0.04,-0.02,0.03
33,1.38,0.30,10.70, -0.09,-0.02,-0.01
34,1.17,-0.72,10.56, -0.07,-0.01,0.01
35,1.28,0.29,10.58, -0.07,-0.02,0.01
36,1.20,-0.55,10.59, -0.08,-0.01,-0.00
37,1.30,-0.00,10.64, -0.06,-0.02,0.02
38,1.27,-0.21,10.67, -0.09,-0.01,-0.01
39,1.36,-0.08,10.60, -0.06,-0.02,0.02
40,1.27,-0.09,10.69, -0.09,-0.01,-0.01
41,1.30,-0.36,10.58, -0.06,-0.02,0.02
42,1.27,0.07,10.62, -0.08,-0.01,-0.00
43,1.24,-0.43,10.65, -0.07,-0.02,0.01
44,1.30,0.10,10.71, -0.07,-0.02,0.01
45,1.25,-0.37,10.60, -0.08,-0.01,0.00
46,1.28,-0.07,10.69, -0.07,-0.02,0.02
47,1.22,-0.23,10.64, -0.08,-0.01,0.00
48,1.29,-0.18,10.65, -0.07,-0.02,0.01
49,1.30,-0.09,10.65, -0.08,-0.01,0.00
50,1.33,-0.27,10.67, -0.07,-0.02,0.01
51,1.28,-0.06,10.69, -0.08,-0.02,0.00
52,1.27,-0.21,10.59, -0.07,-0.02,0.01
53,1.24,-0.07,10.67, -0.07,-0.02,0.01
54,1.25,-0.25,10.63, -0.07,-0.02,0.00
55,1.26,-0.07,10.57, -0.07,-0.02,0.01
56,1.22,-0.21,10.67, -0.08,-0.01,0.00
57,1.28,-0.15,10.67, -0.07,-0.02,0.01
58,1.32,-0.14,10.68, -0.07,-0.02,0.01
59,1.23,-0.19,10.66, -0.07,-0.01,0.01
60,1.30,-0.07,10.61, -0.07,-0.01,0.00
61,1.24,-0.16,10.62, -0.07,-0.02,0.01
62,1.22,-0.11,10.63, -0.07,-0.01,0.01
63,1.28,-0.19,10.66, -0.07,-0.02,0.01
64,1.27,-0.13,10.54, -0.07,-0.02,0.01
65,1.24,-0.18,10.57, -0.07,-0.01,0.01
66,1.23,-0.10,10.63, -0.07,-0.02,0.01
67,1.22,-0.18,10.65, -0.07,-0.01,0.01
68,1.26,-0.10,10.69, -0.07,-0.02,0.01
69,1.30,-0.17,10.58, -0.07,-0.01,0.01
70,1.31,-0.22,10.74, -0.07,-0.01,0.01
71,1.26,-0.15,10.59, -0.07,-0.01,0.01
72,1.27,-0.19,10.53, -0.07,-0.02,0.01
73,1.21,-0.13,10.58, -0.07,-0.01,0.01
74,1.24,-0.21,10.60, -0.07,-0.01,0.00
75,1.23,-0.15,10.65, -0.07,-0.02,0.01
76,1.36,-0.23,10.64, -0.07,-0.02,0.01
77,1.21,-0.21,10.59, -0.07,-0.02,0.01
78,1.30,-0.18,10.66, -0.07,-0.02,0.01
79,1.20,-0.21,10.63, -0.07,-0.02,0.01
80,1.30,-0.16,10.58, -0.07,-0.02,0.01
81,1.18,-0.16,10.64, -0.07,-0.01,0.01
82,1.31,-0.16,10.69, -0.07,-0.01,0.01
83,1.25,-0.15,10.64, -0.08,-0.02,0.00
84,1.36,-0.22,10.61, -0.07,-0.01,0.01
85,1.24,-0.21,10.65, -0.07,-0.02,0.00
86,1.22,-0.19,10.66, -0.07,-0.01,0.01
87,1.20,-0.13,10.63, -0.07,-0.02,0.01
88,1.15,-0.18,10.58, -0.07,-0.02,0.01
89,1.22,-0.16,10.61, -0.07,-0.02,0.01
90,1.27,-0.19,10.67, -0.07,-0.02,0.01
91,1.25,-0.20,10.67, -0.07,-0.02,0.01
92,1.29,-0.20,10.68, -0.07,-0.02,0.01
93,1.30,-0.12,10.75, -0.07,-0.02,0.01
94,1.34,-0.20,10.60, -0.07,-0.01,0.01
95,1.16,-0.11,10.61, -0.07,-0.01,0.01
96,1.32,-0.17,10.66, -0.07,-0.01,0.01
97,1.23,-0.12,10.63, -0.07,-0.02,0.01
98,1.37,-0.21,10.64, -0.07,-0.01,0.01
99,1.22,-0.17,10.63, -0.07,-0.02,0.01
100,1.25,-0.09,10.59, -0.07,-0.01,0.01
101,1.17,-0.18,10.64, -0.07,-0.02,0.01
102,1.25,-0.11,10.64, -0.07,-0.01,0.01
103,1.22,-0.15,10.60, -0.07,-0.02,0.00
104,1.30,-0.17,10.70, -0.07,-0.02,0.01
105,1.28,-0.17,10.65, -0.07,-0.02,0.01
106,1.24,-0.18,10.66, -0.07,-0.01,0.01
