Step,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
0,-9.65,0.58,2.56, -0.07,0.00,0.01
1,-9.72,0.52,2.54, -0.07,-0.00,0.01
2,-9.70,0.47,2.54, -0.08,-0.01,-0.00
3,-9.65,0.40,2.47, -0.08,-0.00,0.00
4,-9.65,0.46,2.47, -0.07,-0.00,0.02
5,-9.62,0.56,2.56, -0.07,0.00,0.02
6,-9.77,0.58,2.53, -0.08,-0.00,0.01
7,-9.68,0.50,2.52, -0.08,-0.01,-0.00
8,-9.67,0.40,2.49, -0.08,-0.01,-0.00
9,-9.66,0.47,2.51, -0.07,-0.00,0.01
10,-9.65,0.50,2.52, -0.07,0.00,0.02
11,-9.58,0.56,2.48, -0.07,-0.00,0.01
12,-9.69,0.48,2.49, -0.08,-0.00,-0.00
13,-9.68,0.45,2.55, -0.08,-0.01,-0.01
14,-9.65,0.44,2.53, -0.07,-0.00,0.01
15,-9.66,0.49,2.51, -0.07,-0.00,0.02
16,-9.69,0.50,2.47, -0.07,-0.00,0.01
17,-9.65,0.47,2.53, -0.07,-0.00,0.00
18,-9.68,0.51,2.46, -0.08,-0.00,0.01
19,-9.56,0.49,2.57, -0.08,-0.01,0.01
20,-9.63,0.49,2.45, -0.07,-0.00,0.01
21,-9.75,0.56,2.51, -0.07,-0.00,0.01
22,-9.62,0.46,2.50, -0.08,-0.01,0.00
23,-9.68,0.46,2.53, -0.07,-0.00,0.01
24,-9.58,0.43,2.41, -0.07,-0.00,0.01
25,-9.62,0.54,2.55, -0.07,-0.00,0.01
26,-9.66,0.51,2.47, -0.08,-0.00,0.01
27,-9.67,0.48,2.52, -0.07,-0.01,0.00
28,-9.70,0.55,2.50, -0.07,-0.01,0.00
29,-9.74,0.41,2.46, -0.08,-0.00,0.01
30,-9.70,0.51,2.56, -0.07,-0.00,0.02
31,-9.62,0.51,2.56, -0.07,0.00,0.01
32,-9.70,0.53,2.54, -0.08,-0.00,0.01
33,-9.67,0.46,2.44, -0.08,-0.00,0.01
34,-9.63,0.48,2.47, -0.08,-0.00,0.01
35,-9.59,0.51,2.51, -0.07,-0.00,0.01
36,-9.67,0.55,2.51, -0.07,-0.00,0.01
37,-9.66,0.49,2.47, -0.07,-0.00,0.01
38,-9.67,0.44,2.52, -0.08,-0.00,0.01
39,-9.64,0.47,2.49, -0.07,-0.00,0.01
40,-9.65,0.48,2.52, -0.08,-0.01,0.01
41,-9.70,0.48,2.46, -0.08,0.00,0.01
42,-9.65,0.54,2.60, -0.07,-0.00,0.01
43,-9.64,0.49,2.52, -0.07,-0.00,0.01
44,-9.65,0.49,2.54, -0.07,-0.00,0.00
45,-9.62,0.46,2.47, -0.08,-0.00,0.00
46,-9.66,0.49,2.52, -0.07,-0.01,0.01
47,-9.65,0.52,2.54, -0.07,-0.00,0.01
48,-9.70,0.53,2.49, -0.07,-0.00,0.01
49,-9.67,0.48,2.52, -0.07,-0.00,0.01
50,-9.67,0.50,2.53, -0.08,-0.00,0.01
51,-9.57,0.51,2.54, -0.07,-0.00,0.01
52,-9.59,0.44,2.49, -0.08,-0.00,0.01
53,-9.69,0.46,2.53, -0.08,0.00,0.01
54,-9.66,0.51,2.49, -0.07,-0.00,0.01
55,-9.67,0.54,2.47, -0.07,-0.00,0.01
56,-9.66,0.54,2.51, -0.07,-0.01,0.01
57,-9.73,0.54,2.64, -0.08,-0.01,0.00
58,-9.61,0.47,2.55, -0.08,-0.00,0.00
59,-9.67,0.51,2.46, -0.07,-0.00,0.01
60,-9.70,0.46,2.51, -0.07,-0.00,0.02
61,-9.67,0.54,2.46, -0.08,-0.01,0.00
62,-9.66,0.45,2.54, -0.08,-0.00,0.00
63,-9.62,0.49,2.62, -0.07,-0.00,0.01
64,-9.69,0.51,2.51, -0.07,-0.00,0.01
65,-9.65,0.46,2.47, -0.08,-0.00,0.01
66,-9.69,0.45,2.55, -0.08,-0.00,0.00
